Date,X,Y,,,,
15/3/2004,0.201800004,#N/A,,,,
19/3/2004,0.156000003,#N/A,,,,
20/3/2004,0.224999994,#N/A,,,,
21/3/2004,0.25,#N/A,,,,
22/3/2004,0.275000006,#N/A,,,,
29/4/2004,0.207680002,#N/A,,,,
1/5/2004,0.771000028,#N/A,,,,
4/5/2004,0.770799994,#N/A,,,,
6/5/2004,0.931680024,#N/A,,,,
12/6/2004,0.327380002,#N/A,,,,
17/6/2004,0.60266,#N/A,,,,
15/8/2004,0.459500015,#N/A,,,,
17/8/2004,0.612399995,#N/A,,,,
22/8/2004,0.48574999,#N/A,,,,
15/9/2004,0.527999997,#N/A,,,,
19/9/2004,0.805999994,0.09,,,,
21/9/2004,0.877300024,0.09,,,,
23/9/2004,#N/A,0.09,,,,
26/9/2004,#N/A,0.14,,,,
28/9/2004,#N/A,0.15,,,,
30/9/2004,#N/A,0.04,,,,
4/10/2004,#N/A,0.04,,,,
5/10/2004,0.200839996,#N/A,,,,
7/10/2004,#N/A,0.1,,,,
10/10/2004,#N/A,0.15,,,,
11/10/2004,#N/A,0.15,,,,
13/10/2004,#N/A,0.15,,,,
20/10/2004,#N/A,0.06,,,,
24/10/2004,#N/A,0.06,,,,
28/10/2004,#N/A,0.06,,,,
3/11/2004,#N/A,0.04,,,,
7/11/2004,#N/A,0.05,,,,
9/11/2004,#N/A,0.07,,,,
11/11/2004,#N/A,0.1,,,,
16/11/2004,#N/A,0.12,,,,
18/11/2004,#N/A,0.12,,,,
21/11/2004,#N/A,0.11,,,,
22/11/2004,#N/A,0.09,,,,
24/11/2004,#N/A,0.1,,,,
28/11/2004,#N/A,0.1,,,,
30/11/2004,#N/A,0.09,,,,
3/12/2004,#N/A,0.1,,,,
5/12/2004,#N/A,0.08,,,,
7/12/2004,#N/A,0.08,,,,
9/12/2004,#N/A,0.1,,,,
13/12/2004,#N/A,0.1,,,,
14/12/2004,#N/A,0.04,,,,
16/12/2004,#N/A,0.04,,,,
19/12/2004,#N/A,0.06,,,,
21/12/2004,#N/A,0.05,,,,
23/12/2004,#N/A,0.05,,,,
27/12/2004,#N/A,0.09,,,,
30/12/2004,#N/A,0.09,,,,
4/1/2005,#N/A,0.1,,,,
5/1/2005,#N/A,0.1,,,,
25/1/2005,#N/A,0.04,,,,
26/1/2005,#N/A,0.04,,,,
28/1/2005,#N/A,0.04,,,,
31/1/2005,#N/A,0.05,,,,
2/2/2005,#N/A,0.02,,,,
3/2/2005,#N/A,0.02,,,,
6/2/2005,#N/A,0.02,,,,
8/2/2005,#N/A,0.02,,,,
11/2/2005,#N/A,0.02,,,,
27/2/2005,#N/A,0.02,,,,
1/3/2005,#N/A,0.02,,,,
3/3/2005,#N/A,0.02,,,,
6/3/2005,#N/A,0.02,,,,
8/3/2005,#N/A,0.08,,,,
10/3/2005,#N/A,0.05,,,,
13/3/2005,#N/A,0.02,,,,
15/3/2005,#N/A,0.02,,,,
19/3/2005,#N/A,0.02,,,,
20/3/2005,#N/A,0.04,,,,
22/3/2005,#N/A,0.04,,,,
23/3/2005,#N/A,0.04,,,,
27/3/2005,#N/A,0.03,,,,
28/3/2005,#N/A,0.03,,,,
31/3/2005,0.245000005,0.06,,,,
3/4/2005,#N/A,0.06,,,,
5/4/2005,0.926999986,0.06,,,,
7/4/2005,#N/A,0.06,,,,
11/4/2005,#N/A,0.06,,,,
12/4/2005,0.76700002,0.06,,,,
14/4/2005,0.838,#N/A,,,,
19/4/2005,#N/A,0.02,,,,
25/4/2005,#N/A,0.02,,,,
26/4/2005,#N/A,0.04,,,,
27/4/2005,#N/A,0.02,,,,
3/5/2005,#N/A,0.04,,,,
5/5/2005,#N/A,0.04,,,,
12/5/2005,#N/A,0.04,,,,
15/5/2005,#N/A,0.04,,,,
24/5/2005,#N/A,0.04,,,,
29/5/2005,#N/A,0.08,,,,
31/5/2005,#N/A,0.08,,,,
2/6/2005,#N/A,0.08,,,,
6/6/2005,#N/A,0.11,,,,
8/6/2005,#N/A,0.11,,,,
9/6/2005,#N/A,0.15,,,,
12/6/2005,#N/A,0.14,,,,
14/6/2005,#N/A,0.14,,,,
16/6/2005,#N/A,0.14,,,,
19/6/2005,0.238000005,#N/A,,,,
20/6/2005,#N/A,0.14,,,,
21/6/2005,#N/A,0.14,,,,
26/6/2005,0.279000014,#N/A,,,,
3/7/2005,0.349000007,0.14,,,,
5/7/2005,#N/A,0.14,,,,
7/7/2005,#N/A,0.14,,,,
10/7/2005,#N/A,0.14,,,,
11/7/2005,#N/A,0.15,,,,
13/7/2005,#N/A,0.14,,,,
17/7/2005,#N/A,0.14,,,,
20/7/2005,#N/A,0.15,,,,
26/7/2005,#N/A,0.15,,,,
31/7/2005,#N/A,0.15,,,,
2/8/2005,#N/A,0.15,,,,
4/8/2005,#N/A,0.11,,,,
7/8/2005,#N/A,0.11,,,,
9/8/2005,#N/A,0.11,,,,
11/8/2005,0.745000005,0.11,,,,
14/8/2005,#N/A,0.13,,,,
21/8/2005,#N/A,0.12,,,,
23/8/2005,0.871999979,0.12,,,,
30/8/2005,#N/A,0.12,,,,
5/9/2005,#N/A,0.06,,,,
6/9/2005,#N/A,0.1,,,,
7/9/2005,#N/A,0.1,,,,
8/9/2005,0.88499999,#N/A,,,,
11/9/2005,#N/A,0.09,,,,
13/9/2005,#N/A,0.09,,,,
14/9/2005,#N/A,0.09,,,,
15/9/2005,0.865999997,#N/A,,,,
18/9/2005,#N/A,0.1,,,,
20/9/2005,#N/A,0.16,,,,
21/9/2005,#N/A,0.1,,,,
22/9/2005,0.801999986,0.1,,,,
25/9/2005,#N/A,0.11,,,,
27/9/2005,#N/A,0.14,,,,
29/9/2005,#N/A,0.14,,,,
2/10/2005,#N/A,0.13,,,,
4/10/2005,#N/A,0.14,,,,
6/10/2005,#N/A,0.14,,,,
9/10/2005,#N/A,0.14,,,,
11/10/2005,#N/A,0.14,,,,
16/10/2005,#N/A,0.14,,,,
19/10/2005,#N/A,0.14,,,,
20/10/2005,#N/A,0.13,,,,
23/10/2005,#N/A,0.13,,,,
25/10/2005,#N/A,0.12,,,,
27/10/2005,#N/A,0.12,,,,
30/10/2005,#N/A,0.14,,,,
1/11/2005,#N/A,0.14,,,,
3/11/2005,#N/A,0.1,,,,
6/11/2005,#N/A,0.14,,,,
8/11/2005,#N/A,0.14,,,,
9/11/2005,0.726999998,#N/A,,,,
10/11/2005,#N/A,0.13,,,,
13/11/2005,0.845000029,0.13,,,,
15/11/2005,0.782000005,0.13,,,,
17/11/2005,#N/A,0.13,,,,
20/11/2005,0.444999993,0.12,,,,
22/11/2005,0.317000002,0.13,,,,
6/12/2005,0.963999987,#N/A,,,,
11/12/2005,0.65200001,#N/A,,,,
13/12/2005,0.397000015,#N/A,,,,
7/2/2006,#N/A,0.06,,,,
9/2/2006,#N/A,0.14,,,,
12/2/2006,#N/A,0.14,,,,
14/2/2006,#N/A,0.15,,,,
16/3/2006,#N/A,0.15,,,,
11/4/2006,#N/A,0.12,,,,
13/4/2006,#N/A,0.18,,,,
16/4/2006,0.805999994,#N/A,,,,
18/4/2006,1.281999946,0.21,,,,
23/4/2006,0.920099974,#N/A,,,,
27/4/2006,#N/A,0.15,,,,
30/4/2006,0.552399993,0.15,,,,
2/5/2006,#N/A,0.14,,,,
4/5/2006,#N/A,0.14,,,,
7/5/2006,#N/A,0.15,,,,
14/5/2006,#N/A,0.15,,,,
15/5/2006,#N/A,0.15,,,,
16/5/2006,#N/A,0.13,,,,
18/5/2006,#N/A,0.11,,,,
21/5/2006,#N/A,0.12,,,,
22/5/2006,#N/A,0.13,,,,
23/5/2006,#N/A,0.14,,,,
25/5/2006,#N/A,0.14,,,,
1/6/2006,#N/A,0.15,,,,
8/6/2006,#N/A,0.14,,,,
22/6/2006,#N/A,0.14,,,,
29/6/2006,#N/A,0.13,,,,
6/7/2006,#N/A,0.15,,,,
13/7/2006,#N/A,0.14,,,,
20/7/2006,#N/A,0.11,,,,
27/7/2006,#N/A,0.16,,,,
3/8/2006,#N/A,0.12,,,,
10/8/2006,#N/A,0.16,,,,
15/8/2006,#N/A,0.16,,,,
17/8/2006,0.691999972,0.16,,,,
20/8/2006,0.697000027,0.15,,,,
22/8/2006,0.856000006,#N/A,,,,
24/8/2006,0.771000028,0.15,,,,
27/8/2006,0.786000013,0.14,,,,
29/8/2006,0.79400003,0.15,,,,
5/9/2006,#N/A,0.15,,,,
6/9/2006,0.467999995,#N/A,,,,
7/9/2006,#N/A,0.15,,,,
12/9/2006,0.246000007,0.15,,,,
14/9/2006,#N/A,0.14,,,,
17/9/2006,#N/A,0.15,,,,
19/9/2006,0.287999988,0.15,,,,
21/9/2006,#N/A,0.16,,,,
24/9/2006,#N/A,0.13,,,,
26/9/2006,0.307999998,0.11,,,,
28/9/2006,#N/A,0.15,,,,
3/10/2006,0.388000011,#N/A,,,,
8/10/2006,#N/A,0.13,,,,
10/10/2006,0.481000006,0.13,,,,
12/10/2006,#N/A,0.14,,,,
15/10/2006,#N/A,0.14,,,,
17/10/2006,#N/A,0.14,,,,
19/10/2006,#N/A,0.14,,,,
22/10/2006,#N/A,0.15,,,,
29/10/2006,#N/A,0.15,,,,
5/11/2006,#N/A,0.15,,,,
12/11/2006,#N/A,0.16,,,,
19/11/2006,#N/A,0.14,,,,
26/11/2006,#N/A,0.12,,,,
3/12/2006,#N/A,0.15,,,,
10/12/2006,#N/A,0.15,,,,
17/12/2006,#N/A,0.16,,,,
26/12/2006,#N/A,0.15,,,,
9/1/2007,#N/A,0.13,,,,
16/1/2007,#N/A,0.13,,,,
23/1/2007,#N/A,0.12,,,,
30/1/2007,#N/A,0.11,,,,
6/2/2007,#N/A,0.12,,,,
13/2/2007,#N/A,0.12,,,,
20/2/2007,#N/A,0.12,,,,
27/2/2007,#N/A,0.14,,,,
6/3/2007,#N/A,0.12,,,,
13/3/2007,#N/A,0.13,,,,
20/3/2007,#N/A,0.11,,,,
27/3/2007,#N/A,0.12,,,,
3/4/2007,#N/A,0.13,,,,
10/4/2007,#N/A,0.13,,,,
12/4/2007,0.252999991,0.13,,,,
22/4/2007,#N/A,0.13,,,,
29/4/2007,#N/A,0.12,,,,
15/5/2007,#N/A,0.12,,,,
22/5/2007,#N/A,0.12,,,,
29/5/2007,#N/A,0.12,,,,
12/6/2007,#N/A,0.11,,,,
19/6/2007,#N/A,0.11,,,,
22/6/2007,0.226999998,#N/A,,,,
26/6/2007,#N/A,0.13,,,,
3/7/2007,#N/A,0.11,,,,
10/7/2007,#N/A,0.1,,,,
17/7/2007,#N/A,0.11,,,,
24/7/2007,#N/A,0.11,,,,
27/7/2007,0.02,#N/A,,,,
31/7/2007,#N/A,0.14,,,,
7/8/2007,#N/A,0.1,,,,
14/8/2007,#N/A,0.12,,,,
21/8/2007,#N/A,0.13,,,,
29/8/2007,#N/A,0.13,,,,
3/9/2007,0.508899987,0.14,,,,
4/9/2007,1.606999993,0.11,,,,
5/9/2007,#N/A,0.08,,,,
6/9/2007,0.593200028,0.13,,,,
7/9/2007,0.691399992,0.07,,,,
8/9/2007,0.699699998,0.13,,,,
9/9/2007,0.685000002,#N/A,,,,
10/9/2007,0.875500023,0.12,,,,
11/9/2007,0.795000017,0.11,,,,
12/9/2007,#N/A,0.07,,,,
13/9/2007,0.757000029,0.07,,,,
16/9/2007,0.273999989,0.13,,,,
17/9/2007,#N/A,0.1,,,,
18/9/2007,0.708000004,0.13,,,,
19/9/2007,#N/A,0.1,,,,
20/9/2007,0.708000004,0.13,,,,
23/9/2007,0.690999985,0.09,,,,
24/9/2007,#N/A,0.1,,,,
25/9/2007,0.675000012,0.1,,,,
26/9/2007,#N/A,0.12,,,,
27/9/2007,0.626999974,0.12,,,,
30/9/2007,#N/A,0.1,,,,
9/10/2007,#N/A,0.1,,,,
